"FID","id","nome","uf","codigo_ibg","codigo_mun","ano","populacao","agua","esgoto","taxa_esgoto","taxa_agua"
"193",192,3757,"Lucrécia","RN",2406908,240690,2015,3933,2416,2468,0.627510806000509,0.614289346554793
"194",193,2625,"Cruz do Espírito Santo","PB",2504900,250490,2015,17212,6233,0,0,0.362131071345573
"195",194,2626,"Cubati","PB",2505006,250500,2015,7193,5682,645,0.0896705129987488,0.789934658695954
"196",195,2782,"Vista Serrana","PB",2505501,250550,2015,3744,2900,0,0,0.77457264957265
"197",196,2783,"Zabelê","PB",2517407,251740,2015,2208,1566,0,0,0.709239130434783
"198",197,2592,"Bom Sucesso","PB",2502300,250230,2015,5007,2158,0,0,0.430996604753345
"199",198,2593,"Bonito de Santa Fé","PB",2502409,250240,2015,11684,9026,8500,0.727490585415953,0.772509414584047
"200",199,2787,"Agrestina","PE",2600302,260030,2015,24256,23436,0,0,0.966193931398417
"201",200,2789,"Águas Belas","PE",2600500,260050,2015,42566,20270,0,0,0.476201663299347
"202",201,2794,"Angelim","PE",2601003,260100,2015,10882,7541,0,0,0.692979231758868
"203",202,2796,"Araripina","PE",2601102,260110,2015,82800,53978,35531,0.429118357487923,0.651908212560386
"204",203,2797,"Arcoverde","PE",2601201,260120,2015,72625,67787,3859,0.0531359724612737,0.933383820998279
"205",204,2798,"Barra de Guabiraba","PE",2601300,260130,2015,13953,13764,0,0,0.986454525908407
"206",205,2831,"Cedro","PE",2604304,230380,2015,25013,12298,881,0.0352216847239435,0.491664334546036
"207",206,2802,"Belo Jardim","PE",2601706,260170,2015,75462,75462,53155,0.704394264663009,1
"208",207,2803,"Betânia","PE",2601805,260180,2015,12539,5691,3878,0.309275061807162,0.453863944493181
"209",208,2806,"Bom Conselho","PE",2602100,260210,2015,47760,30960,0,0,0.648241206030151
"210",209,2804,"Bezerros","PE",2601904,260190,2015,60386,48789,0,0,0.807952174345047
"211",210,2805,"Bodocó","PE",2602001,260200,2015,37317,17068,20037,0.53694026851033,0.457378674598708
"212",211,2811,"Brejo da Madre de Deus","PE",2602605,260260,2015,49092,27327,20000,0.407398354110649,0.556648741139086
"213",212,2807,"Bom Jardim","PE",2602209,260220,2015,38924,24988,0,0,0.641968965162881
"214",213,2809,"Brejão","PE",2602407,260240,2015,8989,4013,0,0,0.446434531093559
"215",214,2810,"Brejinho","PE",2602506,260250,2015,7464,4740,0,0,0.635048231511254
"216",215,2673,"Mari","PB",2509107,250910,2015,21755,15269,0,0,0.701861641002068
"217",216,3717,"Doutor Severiano","RN",2403202,240320,2015,7184,3756,1392,0.193763919821826,0.5228285077951
"218",217,3761,"Major Sales","RN",2407252,240725,2014,3856,3856,0,0,1
"219",218,2888,"Machados","PE",2609105,260910,2015,15313,8871,0,0,0.579311695944622
"220",219,2643,"Gurinhém","PB",2506400,250640,2015,14117,7334,0,0,0.519515477792732
"221",220,2716,"Quixabá","PB",2512606,251260,2015,1901,978,80,0.0420831141504471,0.514466070489216
"222",221,3688,"Almino Afonso","RN",2400604,240060,2015,4899,3499,0,0,0.714227393345581
