FID;id;nome;uf;codigo_ibg;codigo_mun;ano;populacao;agua;esgoto
187;2569;Amparo;PB;2500734;250073;2015;2212;1498;998
188;2570;Aparecida;PB;2500775;250077;2015;8263;4806;0
189;3701;Bom Jesus;RN;2401701;250220;2015;2532;1811;0
190;3702;Brejinho;RN;2401800;260250;2015;7464;4740;0
191;2622;Congo;PB;2504702;250470;2015;4780;4314;0
192;3757;Lucrécia;RN;2406908;240690;2015;3933;2416;2468
193;2625;Cruz do Espírito Santo;PB;2504900;250490;2015;17212;6233;0
194;2626;Cubati;PB;2505006;250500;2015;7193;5682;645
195;2782;Vista Serrana;PB;2505501;250550;2015;3744;2900;0
196;2783;Zabelê;PB;2517407;251740;2015;2208;1566;0
197;2592;Bom Sucesso;PB;2502300;250230;2015;5007;2158;0
198;2593;Bonito de Santa Fé;PB;2502409;250240;2015;11684;9026;8500
199;2787;Agrestina;PE;2600302;260030;2015;24256;23436;0
200;2789;Águas Belas;PE;2600500;260050;2015;42566;20270;0
201;2794;Angelim;PE;2601003;260100;2015;10882;7541;0
202;2796;Araripina;PE;2601102;260110;2015;82800;53978;35531
203;2797;Arcoverde;PE;2601201;260120;2015;72625;67787;3859
204;2798;Barra de Guabiraba;PE;2601300;260130;2015;13953;13764;0
205;2831;Cedro;PE;2604304;230380;2015;25013;12298;881
206;2802;Belo Jardim;PE;2601706;260170;2015;75462;75462;53155
207;2803;Betânia;PE;2601805;260180;2015;12539;5691;3878
208;2806;Bom Conselho;PE;2602100;260210;2015;47760;30960;0
209;2804;Bezerros;PE;2601904;260190;2015;60386;48789;0
210;2805;Bodocó;PE;2602001;260200;2015;37317;17068;20037
211;2811;Brejo da Madre de Deus;PE;2602605;260260;2015;49092;27327;20000
212;2807;Bom Jardim;PE;2602209;260220;2015;38924;24988;0
213;2809;Brejão;PE;2602407;260240;2015;8989;4013;0
214;2810;Brejinho;PE;2602506;260250;2015;7464;4740;0
215;2673;Mari;PB;2509107;250910;2015;21755;15269;0
216;3717;Doutor Severiano;RN;2403202;240320;2015;7184;3756;1392
217;3761;Major Sales;RN;2407252;240725;2014;3856;3856;0
218;2888;Machados;PE;2609105;260910;2015;15313;8871;0
219;2643;Gurinhém;PB;2506400;250640;2015;14117;7334;0
220;2716;Quixabá;PB;2512606;251260;2015;1901;978;80
221;3688;Almino Afonso;RN;2400604;240060;2015;4899;3499;0
222;2740;São Domingos do Cariri;PB;2513943;251394;2015;2563;1751;800
223;2808;Bonito;PE;2602308;260230;2015;38094;32321;0
224;2813;Buíque;PE;2602803;260280;2015;56523;17066;0
225;2816;Cachoeirinha;PE;2603108;260310;2015;19951;17392;0
226;2828;Caruaru;PE;2604106;260410;2015;347088;339749;152841
227;2829;Casinhas;PE;2604155;260415;2015;14219;1670;0
228;2835;Correntes;PE;2604700;260470;2015;17968;12129;0
229;2839;Custódia;PE;2605103;260510;2015;36184;21359;0
230;2837;Cumaru;PE;2604908;260490;2015;13132;7009;0
231;2843;Feira Nova;PE;2605400;260540;2015;21710;18432;0
232;2846;Flores;PE;2605608;260560;2015;22588;12911;0
233;2847;Floresta;PE;2605707;260570;2015;31809;27172;0
234;2848;Frei Miguelinho;PE;2605806;260580;2015;15137;6063;0
235;2850;Garanhuns;PE;2606002;260600;2015;136949;136949;13707
236;2856;Ibimirim;PE;2606606;260660;2015;28604;15556;0
237;2861;Inajá;PE;2607000;260700;2015;21932;13264;5021
238;2864;Ipubi;PE;2607307;260730;2015;29721;16799;8162
239;2866;Itaíba;PE;2607505;260750;2015;26412;17700;0
240;2868;Itapetim;PE;2607703;260770;2015;13780;9351;0
241;2877;Jucati;PE;2608255;260825;2015;11202;3985;0
242;2878;Jupi;PE;2608305;260830;2015;14525;2576;0
243;2879;Jurema;PE;2608404;260840;2015;15171;13000;0
244;2885;Lajedo;PE;2608800;260880;2015;39240;39146;0
245;2891;Mirandiba;PE;2609303;260930;2015;15098;12707;0
246;2892;Moreilândia;PE;2614303;261430;2015;11242;5336;0
247;2886;Limoeiro;PE;2608909;260890;2015;56269;43432;0
248;2889;Manari;PE;2609154;260915;2015;20302;7347;0
249;2896;Orobó;PE;2609709;260970;2015;23663;7434;0
250;2901;Panelas;PE;2610202;261020;2015;26464;16338;14410
251;2898;Ouricuri;PE;2609907;260990;2015;67676;48928;0
252;2900;Palmeirina;PE;2610103;261010;2015;7969;5303;0
253;2902;Paranatama;PE;2610301;261030;2015;11357;1392;0
254;2907;Pedra;PE;2610806;261080;2015;22401;10734;0
255;2903;Parnamirim;PE;2610400;261040;2015;21193;12236;0
256;2904;Passira;PE;2610509;261050;2015;28982;17454;0
257;2906;Paulista;PE;2610707;251090;2015;12216;4678;0
258;2908;Pesqueira;PE;2610905;261090;2015;66153;40933;0
259;2917;Riacho das Almas;PE;2611705;261170;2015;20177;12754;0
260;2941;São Vicente Ferrer;PE;2613800;261380;2015;17763;8279;0
261;2911;Poção;PE;2611200;261120;2015;11265;6686;0
262;2915;Quixaba;PE;2611533;261153;2015;6823;3605;0
263;2920;Sairé;PE;2612000;261200;2015;10437;9731;0
264;2921;Salgadinho;PE;2612109;251300;2015;3871;1305;692
265;2922;Salgueiro;PE;2612208;261220;2015;59769;59769;19937
266;2924;Sanharó;PE;2612406;261240;2015;25047;20948;0
267;2925;Santa Cruz;PE;2612455;251320;2015;6579;4176;0
268;2926;Santa Cruz da Baixa Verde;PE;2612471;261247;2015;12375;191;0
269;2927;Santa Cruz do Capibaribe;PE;2612505;261250;2015;101485;78656;0
270;2930;Santa Maria do Cambucá;PE;2612703;261270;2015;13826;6775;0
271;2933;São Bento do Una;PE;2613008;261300;2015;57659;27118;0
272;2934;São Caitano;PE;2613107;261310;2015;36763;29594;0
273;2936;São Joaquim do Monte;PE;2613305;261330;2015;21171;16087;0
274;2938;São José do Belmonte;PE;2613503;261350;2015;33677;20351;21500
275;2939;São José do Egito;PE;2613602;261360;2015;33365;24606;21971
276;2942;Serra Talhada;PE;2613909;261390;2015;84352;84352;65450
277;2943;Serrita;PE;2614006;261400;2015;19017;10802;0
278;2944;Sertânia;PE;2614105;261410;2015;35367;19693;0
279;2947;Surubim;PE;2614501;261450;2015;63166;63166;0
280;2577;Aroeiras;PB;2501302;250130;2015;19204;0;0
281;2948;Tabira;PE;2614600;261460;2015;27958;25816;0
282;2949;Tacaimbó;PE;2614709;261470;2015;12891;8999;0
283;2954;Terra Nova;PE;2615201;261520;2015;10185;9700;0
284;2958;Trindade;PE;2615607;261560;2015;29519;29519;0
285;2624;Coxixola;PB;2504850;250485;2015;1892;1040;0
286;2674;Marizópolis;PB;2509156;250915;2015;6522;5665;0
287;3684;Açu;RN;2400208;240020;2015;57292;42364;0
288;3685;Afonso Bezerra;RN;2400307;240030;2015;11202;5475;4706
289;2780;Várzea;PB;2517100;251710;2015;2747;2426;1800
290;2785;Afogados da Ingazeira;PE;2600104;260010;2015;36709;36709;0
291;2960;Tupanatinga;PE;2615805;261580;2015;26454;11835;10000
292;2961;Tuparetama;PE;2615904;261590;2015;8149;8149;0
293;3700;Bodó;RN;2401651;240165;2015;2358;1367;0
294;2963;Verdejante;PE;2616100;261610;2015;9450;9376;0
295;3704;Caiçara do Rio do Vento;RN;2401909;240190;2015;3608;2845;916
296;3683;Acari;RN;2400109;240010;2015;11344;9151;9151
297;2964;Vertente do Lério;PE;2616183;261618;2015;7746;2991;0
298;2965;Vertentes;PE;2616209;261620;2015;19976;14625;0
299;3686;Água Nova;RN;2400406;240040;2015;3210;2055;0
300;3795;Rafael Fernandes;RN;2410504;241050;2015;5040;2841;0
301;716;Jati;CE;2307205;230720;2015;7807;3296;0
302;3743;Jardim de Piranhas;RN;2405603;240560;2015;14606;11276;11459
303;3758;Luís Gomes;RN;2407005;240700;2015;10129;6625;0
304;757;Penaforte;CE;2310605;231060;2015;8817;5679;0
305;3789;Pilões;RN;2410009;251160;2015;6728;0;0
306;718;Juazeiro do Norte;CE;2307304;230730;2015;266022;222131;58507
307;723;Maracanaú;CE;2307650;230765;2015;221504;147551;65227
308;650;Brejo Santo;CE;2302503;230250;2014;47645;31201;21307
309;642;Barbalha;CE;2301901;230190;2015;58855;34498;3991
310;631;Aquiraz;CE;2301000;230100;2015;77717;26004;13120
311;632;Aracati;CE;2301109;230110;2015;72727;36102;9694
312;639;Aurora;CE;2301703;230170;2015;24602;10359;1548
313;640;Baixio;CE;2301802;230180;2015;6198;3307;0
314;644;Barro;CE;2302008;230200;2015;22279;11332;1273
315;647;Beberibe;CE;2302206;230220;2015;52310;8570;3280
316;664;Cedro;CE;2303808;230380;2015;25013;12298;881
317;678;Fortaleza;CE;2304400;230440;2015;2591188;2184943;1270591
318;657;Caririaçu;CE;2303204;230320;2015;26858;15373;0
319;679;Fortim;CE;2304459;230445;2015;15951;6122;0
320;660;Cascavel;CE;2303501;230350;2015;70047;39608;1171
321;663;Caucaia;CE;2303709;230370;2015;353932;240953;104674
322;675;Eusébio;CE;2304285;230428;2015;51127;35342;4423
323;670;Crato;CE;2304202;230420;2015;128680;127432;35527
324;667;Chorozinho;CE;2303956;230395;2015;19192;6346;11590
325;684;Granjeiro;CE;2304806;230480;2015;4494;1193;502
326;686;Guaiúba;CE;2304954;230495;2015;25841;12787;2131
327;694;Icapuí;CE;2305357;230535;2015;19418;19418;0
328;730;Milagres;CE;2308302;230830;2015;28354;9145;0
329;699;Ipaumirim;CE;2305704;230570;2015;12305;6207;0
330;695;Icó;CE;2305407;230540;2015;67198;49536;17850
331;715;Jardim;CE;2307106;230710;2012;26730;8994;8994
332;711;Jaguaretama;CE;2306702;230670;2015;17997;7442;285
333;704;Itaiçaba;CE;2306207;230620;2015;7656;2434;0
334;705;Itaitinga;CE;2306256;230625;2015;38540;35546;708
335;712;Jaguaribara;CE;2306801;230680;2015;11102;7700;5627
336;713;Jaguaribe;CE;2306900;230690;2015;34561;32672;8253
337;733;Missão Velha;CE;2308401;230840;2015;35240;11897;369
338;720;Lavras da Mangabeira;CE;2307502;230750;2015;31383;14855;0
339;721;Limoeiro do Norte;CE;2307601;230760;2015;58175;57593;9925
340;724;Maranguape;CE;2307700;230770;2015;123570;71863;7088
341;728;Mauriti;CE;2308104;230810;2015;46113;15001;2671
342;736;Morada Nova;CE;2308708;230870;2015;61903;58000;1600
343;744;Ocara;CE;2309458;230945;2015;25123;4874;777
344;746;Pacajus;CE;2309607;230960;2015;68800;40004;1851
345;747;Pacatuba;CE;2309706;230970;2015;80378;58004;30799
346;750;Palhano;CE;2310001;231000;2015;9209;3326;0
347;764;Porteiras;CE;2311108;231110;2015;15010;5178;867
348;774;Russas;CE;2311801;231180;2015;75018;39333;10687
349;771;Quixeré;CE;2311504;231150;2015;21572;5090;0
350;782;São João do Jaguaribe;CE;2312502;231250;2008;8521;7172;1827
351;781;São Gonçalo do Amarante;CE;2312403;231240;2015;47297;15927;5987
352;788;Tabuleiro do Norte;CE;2313104;231310;2015;30263;15973;2041
353;797;Umari;CE;2313708;231370;2015;7665;2451;4550
354;802;Várzea Alegre;CE;2314003;231400;2015;40062;21501;17900
355;760;Pindoretama;CE;2310852;231085;2015;20207;12100;0
356;3778;Parelhas;RN;2408904;240890;2015;21483;18032;17786
357;3779;Parnamirim;RN;2403251;261040;2015;21193;12236;0
358;3781;Passagem;RN;2409209;251070;2015;2383;2115;0
359;3782;Patu;RN;2409308;240930;2015;12706;417;0
360;3783;Pau dos Ferros;RN;2409407;240940;2015;29954;27622;3782
361;3785;Pedra Preta;RN;2409605;240960;2015;2568;982;0
362;3786;Pedro Avelino;RN;2409704;240970;2015;7059;4056;3256
363;3788;Pendências;RN;2409902;240990;2015;14751;10168;4223
364;2946;Solidão;PE;2614402;261440;2015;5949;2095;0
365;3791;Portalegre;RN;2410207;241020;2015;7811;4101;0
366;2790;Alagoinha;PE;2600609;250050;2015;14284;11100;0
367;3796;Rafael Godeiro;RN;2410603;241060;2015;3213;2028;0
368;2584;Barra de São Miguel;PB;2501708;250170;2015;5905;0;0
369;3797;Riacho da Cruz;RN;2410702;241070;2015;3485;1987;0
370;3798;Riacho de Santana;RN;2410801;241080;2015;4278;1451;0
371;3801;Rodolfo Fernandes;RN;2411007;241100;2015;4547;3843;0
372;3803;Santa Cruz;RN;2411205;251320;2015;6579;4176;0
373;2772;Sumé;PB;2516300;251630;2015;16784;14948;4375
374;2582;Barra de Santana;PB;2501575;250157;2015;8249;891;0
375;2585;Bayeux;PB;2501807;250180;2015;96140;77843;8793
