id;nome;uf;populacao;pib;estado_id;codigo_ibg;OID_;MUNICIPIO;UF_1;MUNICIPI_1;UF_12
2747;S├úo Jos├® de Espinharas;PB;4760;26110;15;2514404;161;Aparecida;PB;S├úo Jos├® de Espinharas;PB
3690;Angicos;RN;11549;69145;20;2400802;274;├ügua Nova;RN;Angicos;RN
3691;Ant├┤nio Martins;RN;6907;31809;20;2400901;274;├ügua Nova;RN;Ant├┤nio Martins;RN
2748;S├úo Jos├® de Piranhas;PB;19096;94357;15;2514503;161;Aparecida;PB;S├úo Jos├® de Piranhas;PB
2755;S├úo Mamede;PB;7748;38552;15;2514909;161;Aparecida;PB;S├úo Mamede;PB
2756;S├úo Miguel de Taipu;PB;6696;27746;15;2515005;161;Aparecida;PB;S├úo Miguel de Taipu;PB
2754;S├úo Jos├® dos Ramos;PB;5508;23919;15;2514453;161;Aparecida;PB;S├úo Jos├® dos Ramos;PB
3831;Severiano Melo;RN;5752;29641;20;2413607;274;├ügua Nova;RN;Severiano Melo;RN
2758;S├úo Sebasti├úo do Umbuzeiro;PB;3235;15782;15;2515203;161;Aparecida;PB;S├úo Sebasti├úo do Umbuzeiro;PB
2759;Sap├®;PB;50143;262173;15;2515302;161;Aparecida;PB;Sap├®;PB
2931;Santa Terezinha;PE;10991;42542;16;2612802;0;Araripina;PE;Santa Terezinha;PE
3693;Areia Branca;RN;25315;455959;20;2401107;274;├ügua Nova;RN;Areia Branca;RN
3714;Coronel Jo├úo Pessoa;RN;4772;23010;20;2402907;274;├ügua Nova;RN;Coronel Jo├úo Pessoa;RN
2760;Serid├│;PB;10230;38301;15;2515401;161;Aparecida;PB;Serid├│;PB
2761;Serra Branca;PB;12973;67053;15;2515500;161;Aparecida;PB;Serra Branca;PB
2769;Soledade;PB;13739;75343;15;2516102;161;Aparecida;PB;Soledade;PB
3705;Caic├│;RN;62709;548174;20;2402006;274;├ügua Nova;RN;Caic├│;RN
2721;Riacho de Santo Ant├┤nio;PB;1722;10803;15;2512788;161;Aparecida;PB;Riacho de Santo Ant├┤nio;PB
2739;S├úo Domingos;PB;2855;14641;15;2513968;161;Aparecida;PB;S├úo Domingos;PB
3708;Cara├║bas;RN;19576;169582;20;2402303;274;├ügua Nova;RN;Cara├║bas;PB
3709;Carna├║ba dos Dantas;RN;7429;40943;20;2402402;274;├ügua Nova;RN;Carna├║ba dos Dantas;RN
3710;Carnaubais;RN;9762;77275;20;2402501;274;├ügua Nova;RN;Carnaubais;RN
2742;S├úo Jo├úo do Cariri;PB;4344;22834;15;2514008;161;Aparecida;PB;S├úo Jo├úo do Cariri;PB
3827;Serra do Mel;RN;10287;63637;20;2413359;274;├ügua Nova;RN;Serra do Mel;RN
3746;Jo├úo Dias;RN;2601;12597;20;2405900;274;├ügua Nova;RN;Jo├úo Dias;RN
3747;Jos├® da Penha;RN;5868;30727;20;2406007;274;├ügua Nova;RN;Jos├® da Penha;RN
3828;Serra Negra do Norte;RN;7770;40279;20;2413409;274;├ügua Nova;RN;Serra Negra do Norte;RN
2751;S├úo Jos├® do Brejo do Cruz;PB;1684;9936;15;2514651;161;Aparecida;PB;S├úo Jos├® do Brejo do Cruz;PB
3774;Ouro Branco;RN;4699;29055;20;2408508;274;├ügua Nova;RN;Ouro Branco;RN
3765;Messias Targino;RN;4188;26614;20;2407609;274;├ügua Nova;RN;Messias Targino;RN
2752;S├úo Jos├® do Sabugi;PB;4010;20530;15;2514701;161;Aparecida;PB;S├úo Jos├® do Sabugi;PB
3775;Paran├í;RN;3952;18859;20;2408607;274;├ügua Nova;RN;Paran├í;RN
2753;S├úo Jos├® dos Cordeiros;PB;3985;16958;15;2514800;161;Aparecida;PB;S├úo Jos├® dos Cordeiros;PB
2764;Serra Redonda;PB;7050;36474;15;2515807;161;Aparecida;PB;Serra Redonda;PB
