Código do Município ;Município ;Estado ;Região ;Ano de Referência ;Código do Prestador ;Prestador ;Sigla do Prestador ;Abrangência ;Tipo de serviço ;Natureza jurídica ;AG001 - População total atendida com abastecimento de água (Habitantes);ES001 - População total atendida com esgotamento sanitário (Habitantes)
230410;Crateús;CE;Nordeste    ;2015;23044000;Companhia de Água e Esgoto do Ceará;CAGECE;Regional;Água e Esgoto;Sociedade de economia mista com administração pública;41.225;19.478
230423;Croatá;CE;Nordeste    ;2015;23044000;Companhia de Água e Esgoto do Ceará;CAGECE;Regional;Água e Esgoto;Sociedade de economia mista com administração pública;4.965;1.148
230425;Cruz;CE;Nordeste    ;2015;23044000;Companhia de Água e Esgoto do Ceará;CAGECE;Regional;Água         ;Sociedade de economia mista com administração pública;7.382;
230427;Ererê;CE;Nordeste    ;2015;23044000;Companhia de Água e Esgoto do Ceará;CAGECE;Regional;Água         ;Sociedade de economia mista com administração pública;2.823;
230428;Eusébio;CE;Nordeste    ;2015;23044000;Companhia de Água e Esgoto do Ceará;CAGECE;Regional;Água e Esgoto;Sociedade de economia mista com administração pública;35.342;4.423
230430;Farias Brito;CE;Nordeste    ;2015;23044000;Companhia de Água e Esgoto do Ceará;CAGECE;Regional;Água         ;Sociedade de economia mista com administração pública;5.673;
230435;Forquilha;CE;Nordeste    ;2015;23044000;Companhia de Água e Esgoto do Ceará;CAGECE;Regional;Água e Esgoto;Sociedade de economia mista com administração pública;14.656;4.834
230440;Fortaleza;CE;Nordeste    ;2015;23044000;Companhia de Água e Esgoto do Ceará;CAGECE;Regional;Água e Esgoto;Sociedade de economia mista com administração pública;2.184.943;1.270.591
230445;Fortim;CE;Nordeste    ;2015;23044000;Companhia de Água e Esgoto do Ceará;CAGECE;Regional;Água         ;Sociedade de economia mista com administração pública;6.122;
230450;Frecheirinha;CE;Nordeste    ;2015;23044000;Companhia de Água e Esgoto do Ceará;CAGECE;Regional;Água e Esgoto;Sociedade de economia mista com administração pública;6.987;1.067
230460;General Sampaio;CE;Nordeste    ;2015;23044000;Companhia de Água e Esgoto do Ceará;CAGECE;Regional;Água         ;Sociedade de economia mista com administração pública;3.907;
